truck 0.68 (179, 2) (207, 21)
Found 9 boxes for img
Found 9 boxes for img
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
train 0.47 (67, 18) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
train 0.47 (66, 17) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
train 0.47 (69, 18) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (69, 17) (136, 110)
train 0.47 (68, 17) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (71, 17) (136, 110)
train 0.47 (69, 16) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (69, 15) (136, 110)
train 0.47 (70, 15) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (71, 15) (136, 110)
train 0.47 (71, 14) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (71, 15) (136, 110)
train 0.47 (70, 13) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (71, 13) (136, 110)
train 0.47 (71, 12) (135, 113)
truck 0.43 (201, 4) (237, 23)
Found 11 boxes for img
car 0.94 (151, 11) (166, 24)
car 0.78 (165, 2) (182, 18)
car 0.64 (132, 1) (153, 11)
car 0.51 (0, 123) (94, 233)
car 0.40 (200, 8) (233, 23)
car 0.34 (151, 1) (169, 11)
bus 0.99 (78, 13) (137, 96)
bus 0.59 (0, 125) (92, 243)
bus 0.37 (198, 4) (235, 23)
truck 0.39 (198, 4) (235, 23)
truck 0.31 (0, 115) (93, 239)
car 0.94 (151, 11) (166, 24)
car 0.78 (165, 2) (182, 18)
car 0.64 (132, 1) (153, 11)
car 0.51 (4, 118) (94, 233)
car 0.40 (200, 8) (233, 23)
car 0.34 (151, 1) (169, 11)
bus 0.99 (79, 13) (137, 96)
bus 0.59 (4, 120) (92, 243)
bus 0.37 (198, 4) (235, 23)
truck 0.39 (198, 4) (235, 23)
truck 0.31 (5, 110) (93, 239)
car 0.94 (151, 11) (166, 24)
car 0.78 (165, 2) (182, 18)
car 0.64 (132, 1) (153, 11)
car 0.51 (10, 113) (94, 233)
car 0.40 (200, 8) (233, 23)
car 0.34 (151, 1) (169, 11)
bus 0.99 (80, 13) (137, 96)
bus 0.59 (10, 117) (92, 243)
bus 0.37 (198, 4) (235, 23)
truck 0.39 (198, 4) (235, 23)
truck 0.31 (10, 107) (93, 239)
car 0.94 (151, 11) (166, 24)
car 0.78 (165, 2) (182, 18)
car 0.64 (132, 1) (153, 11)
car 0.51 (12, 108) (94, 233)
car 0.40 (200, 8) (233, 23)
car 0.34 (151, 1) (169, 11)
bus 0.99 (79, 11) (137, 96)
bus 0.59 (14, 110) (92, 243)
bus 0.37 (198, 4) (235, 23)
